2023-04-13 12:37:28.891 [info] Starting worker process with pid 10736 (type: fileWatcher, window: 1).
2023-04-13 12:48:05.203 [info] Starting worker process with pid 12563 (type: fileWatcher, window: 3).
2023-04-13 12:48:27.423 [info] Worker process with pid 12563 terminated normally (type: fileWatcher, window: 3).
2023-04-13 12:48:28.574 [info] Starting worker process with pid 12639 (type: fileWatcher, window: 3).
2023-04-13 12:48:33.411 [info] Worker process with pid 12639 terminated normally (type: fileWatcher, window: 3).
2023-04-13 12:48:33.417 [info] Starting worker process with pid 12671 (type: fileWatcher, window: 3).
2023-04-13 12:48:33.745 [warning] SharedProcess: createWorker found an existing worker that will be terminated (window: 3, moduleId: vs/platform/files/node/watcher/watcherMain)
2023-04-13 12:48:33.755 [info] Worker process with pid 12671 terminated normally (type: fileWatcher, window: 3).
2023-04-13 12:48:33.756 [info] Starting worker process with pid 12683 (type: fileWatcher, window: 3).
2023-04-13 13:10:29.571 [info] Worker process with pid 10736 terminated normally (type: fileWatcher, window: 1).
2023-04-13 13:10:29.577 [info] Starting worker process with pid 14685 (type: fileWatcher, window: 1).
2023-04-13 13:10:30.318 [warning] SharedProcess: createWorker found an existing worker that will be terminated (window: 1, moduleId: vs/platform/files/node/watcher/watcherMain)
2023-04-13 13:10:30.322 [info] Worker process with pid 14685 terminated normally (type: fileWatcher, window: 1).
2023-04-13 13:10:30.327 [info] Starting worker process with pid 14703 (type: fileWatcher, window: 1).
2023-04-13 13:10:33.791 [info] Worker process with pid 12683 terminated normally (type: fileWatcher, window: 3).
